Judul,Abstraksi
RELEVANSI PENENTUAN TARIF JASA RAWAT INAP DENGAN MENGGUNAKAN ACTIVITY BASED COSTING SYSTEM (ABCS) DI RUMAH SAKIT PARU BP4 (BALAI PEMBERANTASAN DAN PENCEGAHAN PENYAKIT PARU),"Dalam perhitungan biaya rawat inap kebanyakan rumah sakit masih menggunakan sistem biaya tradisional. Padahal perhitungan biaya rawat inap sangat penting, karena berkaitan dengan penentuan harga pokok jasa rawat inap, yang pada akhirnya akan mempengaruhi penentuan harga jual atau tarif rawat inap. Alternatif yang dapat digunakan untuk menghitung biaya produk atau jasa adalah dengan menggunakan Activity-Based Costing system(ABCS).untuk mengatasi distorsi pada akuntansi tradisional Activity-Based Costing system (ABCS) merupakan suatu sistem kalkulasi biaya yang pertama kali menelusuri biaya semua aktivitas dan kemudian keproduk yang dinilai dapat mengukur secara cermat biaya-biaya yang keluar dari setiap aktivitas. Metode penelitian yang digunakan dalam skripsi ini yaitu dengan menggunakan jenis penelitian deskriftif yang hanya menggambarkan atau melukiskan suatu fenomena dengan jalan mendeskripsikan sejumlah variabel yang berkenaan dengan  masalah yang diteliti. Dari hasil penelitian menunjukkan bahwa dari perhitungan tarif rawat inap dengan menggunakan metode ABC, apabila dibandingkan dengan metode tradisional maka metode ABC memberikan hasil yang lebih besar kecuali pada kelas VIP yang memberikan hasil lebih kecil. Hal ini disebabkan karena pembebanan biaya overhead pada masing-masing produk lebih rinci dengan menggunakan driver
Kata kunci :ABCS, Cost driver, Aktivitas yang dapat menimbulkan biaya, penentuan tarif."
RELEVANSI PENENTUAN TARIF JASA RAWAT INAP DENGAN MENGGUNAKAN ACTIVITY BASED COSTING SYSTEM (ABCS) DI RUMAH SAKIT PARU BP4 (BALAI PEMBERANTASAN DAN PENCEGAHAN PENYAKIT PARU),"Dalam perhitungan biaya rawat inap kebanyakan rumah sakit masih menggunakan sistem biaya tradisional. Padahal perhitungan biaya rawat inap sangat penting, karena berkaitan dengan penentuan harga pokok jasa rawat inap, yang pada akhirnya akan mempengaruhi penentuan harga jual atau tarif rawat inap. Alternatif yang dapat digunakan untuk menghitung biaya produk atau jasa adalah dengan menggunakan Activity-Based Costing system(ABCS).untuk mengatasi distorsi pada akuntansi tradisional Activity-Based Costing system (ABCS) merupakan suatu sistem kalkulasi biaya yang pertama kali menelusuri biaya semua aktivitas dan kemudian keproduk yang dinilai dapat mengukur secara cermat biaya-biaya yang keluar dari setiap aktivitas. Metode penelitian yang digunakan dalam skripsi ini yaitu dengan menggunakan jenis penelitian deskriftif yang hanya menggambarkan atau melukiskan suatu fenomena dengan jalan mendeskripsikan sejumlah variabel yang berkenaan dengan  masalah yang diteliti. Dari hasil penelitian menunjukkan bahwa dari perhitungan tarif rawat inap dengan menggunakan metode ABC, apabila dibandingkan dengan metode tradisional maka metode ABC memberikan hasil yang lebih besar kecuali pada kelas VIP yang memberikan hasil lebih kecil. Hal ini disebabkan karena pembebanan biaya overhead pada masing-masing produk lebih rinci dengan menggunakan driver
Kata kunci :ABCS, Cost driver, Aktivitas yang dapat menimbulkan biaya, penentuan tarif."
RELEVANSI PENENTUAN TARIF JASA RAWAT INAP DENGAN MENGGUNAKAN ACTIVITY BASED COSTING SYSTEM (ABCS) DI RUMAH SAKIT PARU BP4 (BALAI PEMBERANTASAN DAN PENCEGAHAN PENYAKIT PARU),"Dalam perhitungan biaya rawat inap kebanyakan rumah sakit masih menggunakan sistem biaya tradisional. Padahal perhitungan biaya rawat inap sangat penting, karena berkaitan dengan penentuan harga pokok jasa rawat inap, yang pada akhirnya akan mempengaruhi penentuan harga jual atau tarif rawat inap. Alternatif yang dapat digunakan untuk menghitung biaya produk atau jasa adalah dengan menggunakan Activity-Based Costing system(ABCS).untuk mengatasi distorsi pada akuntansi tradisional Activity-Based Costing system (ABCS) merupakan suatu sistem kalkulasi biaya yang pertama kali menelusuri biaya semua aktivitas dan kemudian keproduk yang dinilai dapat mengukur secara cermat biaya-biaya yang keluar dari setiap aktivitas. Metode penelitian yang digunakan dalam skripsi ini yaitu dengan menggunakan jenis penelitian deskriftif yang hanya menggambarkan atau melukiskan suatu fenomena dengan jalan mendeskripsikan sejumlah variabel yang berkenaan dengan  masalah yang diteliti. Dari hasil penelitian menunjukkan bahwa dari perhitungan tarif rawat inap dengan menggunakan metode ABC, apabila dibandingkan dengan metode tradisional maka metode ABC memberikan hasil yang lebih besar kecuali pada kelas VIP yang memberikan hasil lebih kecil. Hal ini disebabkan karena pembebanan biaya overhead pada masing-masing produk lebih rinci dengan menggunakan driver
Kata kunci :ABCS, Cost driver, Aktivitas yang dapat menimbulkan biaya, penentuan tarif."
PENGARUH KEMAMPUAN DAN MOTIVASI KARYAWAN TERHADAP KINERJA KARYAWAN KONTRAK PADA PT. SAPTA PUSAKA GRAHA NUSANTARA (SPGN) SURABAYA,"Tujuan dari penelitian ini adalah mengetahui pengaruh kemampuan dan pengaruh motivasi terhadap kinerja karyawan kontrak pada PT. Sapta Pusaka Graha Nusantara (SPGN) Surabaya. Popuasi penelitian ini adalah karyawan kontrak yang bekerja dilapangan dan yang sudah  bekerja di atas 1 tahun yakni berjumlah 210 karyawan. Sedangkan metode penarikan sampel yang digunakan adalah metode teknik simple random sampling yaitu 10% dari jumlah populasi sebesar 210 karyawan yakni sebanyak 21 responden. Untuk mendapatkan data-data yang dibutuhkan, maka metode pengumpulan data yang digunakan adalah observasi, wawancara dan penyebaran kuisioner. Sedangkan metode analisis yang digunakan adalah analisis regresi Linear Berganda dan pengujian hipotesis.
		Berdasarkan hasil analisis penelitian mengenai pengaruh kemampuan dan motivasi terhadap kinerja karyawan kontrak pada PT. Sapta Pusaka Graha Nusantara (SPGN) Surabaya, maka dapat disimpulkan bahwa terdapat pengaruh yang signifikan antara kemampuan dengan kinerja karyawan sedangkan motivasi sendiri tidak ada pengaruh yang signifikan terhadap kinerja karyawan tetapi kedua variabel tersebut sama-sama mempunyai arah yang positif terhadap kinerja.   
Kata kunci : Kemampuan, Motivasi, Kinerja Karyawan.  
"
PENGARUH KEMAMPUAN DAN MOTIVASI KARYAWAN TERHADAP KINERJA KARYAWAN KONTRAK PADA PT. SAPTA PUSAKA GRAHA NUSANTARA (SPGN) SURABAYA,"Tujuan dari penelitian ini adalah mengetahui pengaruh kemampuan dan pengaruh motivasi terhadap kinerja karyawan kontrak pada PT. Sapta Pusaka Graha Nusantara (SPGN) Surabaya. Popuasi penelitian ini adalah karyawan kontrak yang bekerja dilapangan dan yang sudah  bekerja di atas 1 tahun yakni berjumlah 210 karyawan. Sedangkan metode penarikan sampel yang digunakan adalah metode teknik simple random sampling yaitu 10% dari jumlah populasi sebesar 210 karyawan yakni sebanyak 21 responden. Untuk mendapatkan data-data yang dibutuhkan, maka metode pengumpulan data yang digunakan adalah observasi, wawancara dan penyebaran kuisioner. Sedangkan metode analisis yang digunakan adalah analisis regresi Linear Berganda dan pengujian hipotesis.
		Berdasarkan hasil analisis penelitian mengenai pengaruh kemampuan dan motivasi terhadap kinerja karyawan kontrak pada PT. Sapta Pusaka Graha Nusantara (SPGN) Surabaya, maka dapat disimpulkan bahwa terdapat pengaruh yang signifikan antara kemampuan dengan kinerja karyawan sedangkan motivasi sendiri tidak ada pengaruh yang signifikan terhadap kinerja karyawan tetapi kedua variabel tersebut sama-sama mempunyai arah yang positif terhadap kinerja.   
Kata kunci : Kemampuan, Motivasi, Kinerja Karyawan.  
"
PENGARUH KEMAMPUAN DAN MOTIVASI KARYAWAN TERHADAP KINERJA KARYAWAN KONTRAK PADA PT. SAPTA PUSAKA GRAHA NUSANTARA (SPGN) SURABAYA,"Tujuan dari penelitian ini adalah mengetahui pengaruh kemampuan dan pengaruh motivasi terhadap kinerja karyawan kontrak pada PT. Sapta Pusaka Graha Nusantara (SPGN) Surabaya. Popuasi penelitian ini adalah karyawan kontrak yang bekerja dilapangan dan yang sudah  bekerja di atas 1 tahun yakni berjumlah 210 karyawan. Sedangkan metode penarikan sampel yang digunakan adalah metode teknik simple random sampling yaitu 10% dari jumlah populasi sebesar 210 karyawan yakni sebanyak 21 responden. Untuk mendapatkan data-data yang dibutuhkan, maka metode pengumpulan data yang digunakan adalah observasi, wawancara dan penyebaran kuisioner. Sedangkan metode analisis yang digunakan adalah analisis regresi Linear Berganda dan pengujian hipotesis.
		Berdasarkan hasil analisis penelitian mengenai pengaruh kemampuan dan motivasi terhadap kinerja karyawan kontrak pada PT. Sapta Pusaka Graha Nusantara (SPGN) Surabaya, maka dapat disimpulkan bahwa terdapat pengaruh yang signifikan antara kemampuan dengan kinerja karyawan sedangkan motivasi sendiri tidak ada pengaruh yang signifikan terhadap kinerja karyawan tetapi kedua variabel tersebut sama-sama mempunyai arah yang positif terhadap kinerja.   
Kata kunci : Kemampuan, Motivasi, Kinerja Karyawan.  
"
PENGARUH KEMAMPUAN DAN MOTIVASI KARYAWAN TERHADAP KINERJA KARYAWAN KONTRAK PADA PT. SAPTA PUSAKA GRAHA NUSANTARA (SPGN) SURABAYA,"Tujuan dari penelitian ini adalah mengetahui pengaruh kemampuan dan pengaruh motivasi terhadap kinerja karyawan kontrak pada PT. Sapta Pusaka Graha Nusantara (SPGN) Surabaya. Popuasi penelitian ini adalah karyawan kontrak yang bekerja dilapangan dan yang sudah  bekerja di atas 1 tahun yakni berjumlah 210 karyawan. Sedangkan metode penarikan sampel yang digunakan adalah metode teknik simple random sampling yaitu 10% dari jumlah populasi sebesar 210 karyawan yakni sebanyak 21 responden. Untuk mendapatkan data-data yang dibutuhkan, maka metode pengumpulan data yang digunakan adalah observasi, wawancara dan penyebaran kuisioner. Sedangkan metode analisis yang digunakan adalah analisis regresi Linear Berganda dan pengujian hipotesis.
		Berdasarkan hasil analisis penelitian mengenai pengaruh kemampuan dan motivasi terhadap kinerja karyawan kontrak pada PT. Sapta Pusaka Graha Nusantara (SPGN) Surabaya, maka dapat disimpulkan bahwa terdapat pengaruh yang signifikan antara kemampuan dengan kinerja karyawan sedangkan motivasi sendiri tidak ada pengaruh yang signifikan terhadap kinerja karyawan tetapi kedua variabel tersebut sama-sama mempunyai arah yang positif terhadap kinerja.   
Kata kunci : Kemampuan, Motivasi, Kinerja Karyawan.  
"
PENGARUH KEMAMPUAN DAN MOTIVASI KARYAWAN TERHADAP KINERJA KARYAWAN KONTRAK PADA PT. SAPTA PUSAKA GRAHA NUSANTARA (SPGN) SURABAYA,"Tujuan dari penelitian ini adalah mengetahui pengaruh kemampuan dan pengaruh motivasi terhadap kinerja karyawan kontrak pada PT. Sapta Pusaka Graha Nusantara (SPGN) Surabaya. Popuasi penelitian ini adalah karyawan kontrak yang bekerja dilapangan dan yang sudah  bekerja di atas 1 tahun yakni berjumlah 210 karyawan. Sedangkan metode penarikan sampel yang digunakan adalah metode teknik simple random sampling yaitu 10% dari jumlah populasi sebesar 210 karyawan yakni sebanyak 21 responden. Untuk mendapatkan data-data yang dibutuhkan, maka metode pengumpulan data yang digunakan adalah observasi, wawancara dan penyebaran kuisioner. Sedangkan metode analisis yang digunakan adalah analisis regresi Linear Berganda dan pengujian hipotesis.
		Berdasarkan hasil analisis penelitian mengenai pengaruh kemampuan dan motivasi terhadap kinerja karyawan kontrak pada PT. Sapta Pusaka Graha Nusantara (SPGN) Surabaya, maka dapat disimpulkan bahwa terdapat pengaruh yang signifikan antara kemampuan dengan kinerja karyawan sedangkan motivasi sendiri tidak ada pengaruh yang signifikan terhadap kinerja karyawan tetapi kedua variabel tersebut sama-sama mempunyai arah yang positif terhadap kinerja.   
Kata kunci : Kemampuan, Motivasi, Kinerja Karyawan.  
"
PERBANDINGAN RASIO KEUANGAN PERUSAHAAN ROKOK YANG TERDAFTAR DI BURSA EFEK INDONESIA UNTUK MENILAI KINERJA KEUANGAN PERUSAHAAN,"ABSTRAK
Mohammad Hadiatullah, Perbandingan Rasio Keuangan Perusahaan Rokok Yang Terdaftar Di Bursa Efek Indonesia Untuk Menilai Kinerja Keuangan Perusahaan. Dibawah bimbingan Bapak Makhmud Zulkifli dan Bapak Echsan Gani.

Tujuan dari penelitian ini adalah untuk mengetahui kinerja keuangan perusahaan-perusahaan rokok yang terdaftar di Bursa Efek Indonesia dengan menggunakan perbandingan rasio keuangan dan untuk mengetahui perbandingan kinerja keuangan perusahaan-perusahaan rokok yang terdaftar di Bursa Efek Indonesia.
Jenis penelitian yang dilakukan dalam penelitian ini adalah penelitian deskriptif dengan pendekatan kuantitatif. Sampel yang diambil dalam penelitian ini adalah perusahaan rokok yang terdaftar di Bursa Efek Indonesia. Metode pengambilan sampel menggunakan purposive sampling. Teknik analisis data yang digunakan adalah analisa rasio keuangan yang hasilnya kemudian diinterpretasikan.
Dari hasil penelitian PT. Hanjaya Mandala Sampoerna Tbk. memiliki kinerja keuangan yang baik di rasio likuiditas, solvabilitas, aktivitas, dan profitabilitas. Untuk PT. Gudang Garam Tbk. memiliki kinerja keuangan yang baik pada rasio likuiditas dan solvabilitas. Untuk PT. Bentoel Internasional Investama Tbk. memiliki kinerja keuangan yang baik pada rasio likuiditas dan aktivitas.
Dari perbandingan rasio keuangan pada rasio likuiditas untuk rasio lancar, rasio cepat, dan rasio kas: PT. Bentoel Internasional Investama Tbk. memiliki rata-rata rasio lebih tinggi dari PT. Gudang garam Tbk. dan PT. Hanjaya mandala Sampoerna Tbk., pada rasio solvabilitas untuk rasio debt to equity ratio dan debt to total  assets: PT. Gudang Garam Tbk. memiliki rata-rata rasio lebih kecil dari PT. Hanjaya Mandala Sampoerna Tbk. dan PT. Bentoel Internasional Investama Tbk. , untuk time interest earned: PT. Hanjaya Mandala Sampoerna Tbk. memiliki rata-rata rasio lebih tinggi dari PT. Gudang Garam Tbk. dan PT. Bentoel Internasional Investama Tbk., pada rasio aktivitas untuk rasio inventory turnover, total assets turnover, dan fixed assets turnover: PT. Hanjaya Mandala Sampoerna Tbk. memiliki rasio lebih tinggi dari PT. Bentoel Internasional Investama Tbk. dan PT. Gudang Garam Tbk., pada rasio profitabilitas untuk rasio net profit margin, return on total asset, dan return on equity: PT. Hanjaya Mandala Sampoerna Tbk. memiliki rata-rata rasio paling tinggi diantara PT. Gudang Garam Tbk. dan PT. Bentoel Internasional Investama Tbk.

Kata kunci: perbandingan rasio keuangan, kinerja keuangan, rasio profitabilitas, rasio likuiditas, rasio solvabilitas, dan rasio aktivitas.
"
PERBANDINGAN RASIO KEUANGAN PERUSAHAAN ROKOK YANG TERDAFTAR DI BURSA EFEK INDONESIA UNTUK MENILAI KINERJA KEUANGAN PERUSAHAAN,"ABSTRAK
Mohammad Hadiatullah, Perbandingan Rasio Keuangan Perusahaan Rokok Yang Terdaftar Di Bursa Efek Indonesia Untuk Menilai Kinerja Keuangan Perusahaan. Dibawah bimbingan Bapak Makhmud Zulkifli dan Bapak Echsan Gani.

Tujuan dari penelitian ini adalah untuk mengetahui kinerja keuangan perusahaan-perusahaan rokok yang terdaftar di Bursa Efek Indonesia dengan menggunakan perbandingan rasio keuangan dan untuk mengetahui perbandingan kinerja keuangan perusahaan-perusahaan rokok yang terdaftar di Bursa Efek Indonesia.
Jenis penelitian yang dilakukan dalam penelitian ini adalah penelitian deskriptif dengan pendekatan kuantitatif. Sampel yang diambil dalam penelitian ini adalah perusahaan rokok yang terdaftar di Bursa Efek Indonesia. Metode pengambilan sampel menggunakan purposive sampling. Teknik analisis data yang digunakan adalah analisa rasio keuangan yang hasilnya kemudian diinterpretasikan.
Dari hasil penelitian PT. Hanjaya Mandala Sampoerna Tbk. memiliki kinerja keuangan yang baik di rasio likuiditas, solvabilitas, aktivitas, dan profitabilitas. Untuk PT. Gudang Garam Tbk. memiliki kinerja keuangan yang baik pada rasio likuiditas dan solvabilitas. Untuk PT. Bentoel Internasional Investama Tbk. memiliki kinerja keuangan yang baik pada rasio likuiditas dan aktivitas.
Dari perbandingan rasio keuangan pada rasio likuiditas untuk rasio lancar, rasio cepat, dan rasio kas: PT. Bentoel Internasional Investama Tbk. memiliki rata-rata rasio lebih tinggi dari PT. Gudang garam Tbk. dan PT. Hanjaya mandala Sampoerna Tbk., pada rasio solvabilitas untuk rasio debt to equity ratio dan debt to total  assets: PT. Gudang Garam Tbk. memiliki rata-rata rasio lebih kecil dari PT. Hanjaya Mandala Sampoerna Tbk. dan PT. Bentoel Internasional Investama Tbk. , untuk time interest earned: PT. Hanjaya Mandala Sampoerna Tbk. memiliki rata-rata rasio lebih tinggi dari PT. Gudang Garam Tbk. dan PT. Bentoel Internasional Investama Tbk., pada rasio aktivitas untuk rasio inventory turnover, total assets turnover, dan fixed assets turnover: PT. Hanjaya Mandala Sampoerna Tbk. memiliki rasio lebih tinggi dari PT. Bentoel Internasional Investama Tbk. dan PT. Gudang Garam Tbk., pada rasio profitabilitas untuk rasio net profit margin, return on total asset, dan return on equity: PT. Hanjaya Mandala Sampoerna Tbk. memiliki rata-rata rasio paling tinggi diantara PT. Gudang Garam Tbk. dan PT. Bentoel Internasional Investama Tbk.

Kata kunci: perbandingan rasio keuangan, kinerja keuangan, rasio profitabilitas, rasio likuiditas, rasio solvabilitas, dan rasio aktivitas.
"
PERBANDINGAN RASIO KEUANGAN PERUSAHAAN ROKOK YANG TERDAFTAR DI BURSA EFEK INDONESIA UNTUK MENILAI KINERJA KEUANGAN PERUSAHAAN,"ABSTRAK
Mohammad Hadiatullah, Perbandingan Rasio Keuangan Perusahaan Rokok Yang Terdaftar Di Bursa Efek Indonesia Untuk Menilai Kinerja Keuangan Perusahaan. Dibawah bimbingan Bapak Makhmud Zulkifli dan Bapak Echsan Gani.

Tujuan dari penelitian ini adalah untuk mengetahui kinerja keuangan perusahaan-perusahaan rokok yang terdaftar di Bursa Efek Indonesia dengan menggunakan perbandingan rasio keuangan dan untuk mengetahui perbandingan kinerja keuangan perusahaan-perusahaan rokok yang terdaftar di Bursa Efek Indonesia.
Jenis penelitian yang dilakukan dalam penelitian ini adalah penelitian deskriptif dengan pendekatan kuantitatif. Sampel yang diambil dalam penelitian ini adalah perusahaan rokok yang terdaftar di Bursa Efek Indonesia. Metode pengambilan sampel menggunakan purposive sampling. Teknik analisis data yang digunakan adalah analisa rasio keuangan yang hasilnya kemudian diinterpretasikan.
Dari hasil penelitian PT. Hanjaya Mandala Sampoerna Tbk. memiliki kinerja keuangan yang baik di rasio likuiditas, solvabilitas, aktivitas, dan profitabilitas. Untuk PT. Gudang Garam Tbk. memiliki kinerja keuangan yang baik pada rasio likuiditas dan solvabilitas. Untuk PT. Bentoel Internasional Investama Tbk. memiliki kinerja keuangan yang baik pada rasio likuiditas dan aktivitas.
Dari perbandingan rasio keuangan pada rasio likuiditas untuk rasio lancar, rasio cepat, dan rasio kas: PT. Bentoel Internasional Investama Tbk. memiliki rata-rata rasio lebih tinggi dari PT. Gudang garam Tbk. dan PT. Hanjaya mandala Sampoerna Tbk., pada rasio solvabilitas untuk rasio debt to equity ratio dan debt to total  assets: PT. Gudang Garam Tbk. memiliki rata-rata rasio lebih kecil dari PT. Hanjaya Mandala Sampoerna Tbk. dan PT. Bentoel Internasional Investama Tbk. , untuk time interest earned: PT. Hanjaya Mandala Sampoerna Tbk. memiliki rata-rata rasio lebih tinggi dari PT. Gudang Garam Tbk. dan PT. Bentoel Internasional Investama Tbk., pada rasio aktivitas untuk rasio inventory turnover, total assets turnover, dan fixed assets turnover: PT. Hanjaya Mandala Sampoerna Tbk. memiliki rasio lebih tinggi dari PT. Bentoel Internasional Investama Tbk. dan PT. Gudang Garam Tbk., pada rasio profitabilitas untuk rasio net profit margin, return on total asset, dan return on equity: PT. Hanjaya Mandala Sampoerna Tbk. memiliki rata-rata rasio paling tinggi diantara PT. Gudang Garam Tbk. dan PT. Bentoel Internasional Investama Tbk.

Kata kunci: perbandingan rasio keuangan, kinerja keuangan, rasio profitabilitas, rasio likuiditas, rasio solvabilitas, dan rasio aktivitas.
"
PERBANDINGAN RASIO KEUANGAN PERUSAHAAN ROKOK YANG TERDAFTAR DI BURSA EFEK INDONESIA UNTUK MENILAI KINERJA KEUANGAN PERUSAHAAN,"ABSTRAK
Mohammad Hadiatullah, Perbandingan Rasio Keuangan Perusahaan Rokok Yang Terdaftar Di Bursa Efek Indonesia Untuk Menilai Kinerja Keuangan Perusahaan. Dibawah bimbingan Bapak Makhmud Zulkifli dan Bapak Echsan Gani.

Tujuan dari penelitian ini adalah untuk mengetahui kinerja keuangan perusahaan-perusahaan rokok yang terdaftar di Bursa Efek Indonesia dengan menggunakan perbandingan rasio keuangan dan untuk mengetahui perbandingan kinerja keuangan perusahaan-perusahaan rokok yang terdaftar di Bursa Efek Indonesia.
Jenis penelitian yang dilakukan dalam penelitian ini adalah penelitian deskriptif dengan pendekatan kuantitatif. Sampel yang diambil dalam penelitian ini adalah perusahaan rokok yang terdaftar di Bursa Efek Indonesia. Metode pengambilan sampel menggunakan purposive sampling. Teknik analisis data yang digunakan adalah analisa rasio keuangan yang hasilnya kemudian diinterpretasikan.
Dari hasil penelitian PT. Hanjaya Mandala Sampoerna Tbk. memiliki kinerja keuangan yang baik di rasio likuiditas, solvabilitas, aktivitas, dan profitabilitas. Untuk PT. Gudang Garam Tbk. memiliki kinerja keuangan yang baik pada rasio likuiditas dan solvabilitas. Untuk PT. Bentoel Internasional Investama Tbk. memiliki kinerja keuangan yang baik pada rasio likuiditas dan aktivitas.
Dari perbandingan rasio keuangan pada rasio likuiditas untuk rasio lancar, rasio cepat, dan rasio kas: PT. Bentoel Internasional Investama Tbk. memiliki rata-rata rasio lebih tinggi dari PT. Gudang garam Tbk. dan PT. Hanjaya mandala Sampoerna Tbk., pada rasio solvabilitas untuk rasio debt to equity ratio dan debt to total  assets: PT. Gudang Garam Tbk. memiliki rata-rata rasio lebih kecil dari PT. Hanjaya Mandala Sampoerna Tbk. dan PT. Bentoel Internasional Investama Tbk. , untuk time interest earned: PT. Hanjaya Mandala Sampoerna Tbk. memiliki rata-rata rasio lebih tinggi dari PT. Gudang Garam Tbk. dan PT. Bentoel Internasional Investama Tbk., pada rasio aktivitas untuk rasio inventory turnover, total assets turnover, dan fixed assets turnover: PT. Hanjaya Mandala Sampoerna Tbk. memiliki rasio lebih tinggi dari PT. Bentoel Internasional Investama Tbk. dan PT. Gudang Garam Tbk., pada rasio profitabilitas untuk rasio net profit margin, return on total asset, dan return on equity: PT. Hanjaya Mandala Sampoerna Tbk. memiliki rata-rata rasio paling tinggi diantara PT. Gudang Garam Tbk. dan PT. Bentoel Internasional Investama Tbk.

Kata kunci: perbandingan rasio keuangan, kinerja keuangan, rasio profitabilitas, rasio likuiditas, rasio solvabilitas, dan rasio aktivitas.
"
PERBANDINGAN RASIO KEUANGAN PERUSAHAAN ROKOK YANG TERDAFTAR DI BURSA EFEK INDONESIA UNTUK MENILAI KINERJA KEUANGAN PERUSAHAAN,"ABSTRAK
Mohammad Hadiatullah, Perbandingan Rasio Keuangan Perusahaan Rokok Yang Terdaftar Di Bursa Efek Indonesia Untuk Menilai Kinerja Keuangan Perusahaan. Dibawah bimbingan Bapak Makhmud Zulkifli dan Bapak Echsan Gani.

Tujuan dari penelitian ini adalah untuk mengetahui kinerja keuangan perusahaan-perusahaan rokok yang terdaftar di Bursa Efek Indonesia dengan menggunakan perbandingan rasio keuangan dan untuk mengetahui perbandingan kinerja keuangan perusahaan-perusahaan rokok yang terdaftar di Bursa Efek Indonesia.
Jenis penelitian yang dilakukan dalam penelitian ini adalah penelitian deskriptif dengan pendekatan kuantitatif. Sampel yang diambil dalam penelitian ini adalah perusahaan rokok yang terdaftar di Bursa Efek Indonesia. Metode pengambilan sampel menggunakan purposive sampling. Teknik analisis data yang digunakan adalah analisa rasio keuangan yang hasilnya kemudian diinterpretasikan.
Dari hasil penelitian PT. Hanjaya Mandala Sampoerna Tbk. memiliki kinerja keuangan yang baik di rasio likuiditas, solvabilitas, aktivitas, dan profitabilitas. Untuk PT. Gudang Garam Tbk. memiliki kinerja keuangan yang baik pada rasio likuiditas dan solvabilitas. Untuk PT. Bentoel Internasional Investama Tbk. memiliki kinerja keuangan yang baik pada rasio likuiditas dan aktivitas.
Dari perbandingan rasio keuangan pada rasio likuiditas untuk rasio lancar, rasio cepat, dan rasio kas: PT. Bentoel Internasional Investama Tbk. memiliki rata-rata rasio lebih tinggi dari PT. Gudang garam Tbk. dan PT. Hanjaya mandala Sampoerna Tbk., pada rasio solvabilitas untuk rasio debt to equity ratio dan debt to total  assets: PT. Gudang Garam Tbk. memiliki rata-rata rasio lebih kecil dari PT. Hanjaya Mandala Sampoerna Tbk. dan PT. Bentoel Internasional Investama Tbk. , untuk time interest earned: PT. Hanjaya Mandala Sampoerna Tbk. memiliki rata-rata rasio lebih tinggi dari PT. Gudang Garam Tbk. dan PT. Bentoel Internasional Investama Tbk., pada rasio aktivitas untuk rasio inventory turnover, total assets turnover, dan fixed assets turnover: PT. Hanjaya Mandala Sampoerna Tbk. memiliki rasio lebih tinggi dari PT. Bentoel Internasional Investama Tbk. dan PT. Gudang Garam Tbk., pada rasio profitabilitas untuk rasio net profit margin, return on total asset, dan return on equity: PT. Hanjaya Mandala Sampoerna Tbk. memiliki rata-rata rasio paling tinggi diantara PT. Gudang Garam Tbk. dan PT. Bentoel Internasional Investama Tbk.

Kata kunci: perbandingan rasio keuangan, kinerja keuangan, rasio profitabilitas, rasio likuiditas, rasio solvabilitas, dan rasio aktivitas.
"
Pengaruh Nilai Pelanggan (Customer Value) Terhadap Loyalitas Nasabah Bank Mandiri Cabang Bangkalan ,"Penelitian ini bertujuan untuk mengukur pengaruh Nilai Pelanggan (Customer Value) Terhadap Loyalitas Nasabah Bank Mandiri Cabang Bangkalan yang dilakukan terhadap nasabah yang mempunyai tabungan di Bank Mandiri Cabang Bangkalan dengan jumlah responden penelitian sebanyak 100 responden, data yang terkumpul selanjutnya dilakukan analisis Regresi Linier Berganda. Dengan menggunakan alat bantu software SPSS 16.0. hasil analisis terhadap pengujian hipotesis diperoleh sebagai berikut: bahwa Nilai Pelanggan (Customer Value) mempunyai pengaruh secara simultan terhadap Loyalitas Nasabah Bank Mandiri Cabang Bangkalan, dan Secara Parsial variabel Emotional Value, Social Value, Quality Performance, Price Value, mempunyai pengaruh parsial terhadap Loyalitas Nasabah Bank Mandiri Cabang Bangkalan, serta variabel Emotional Value merupakan variabel yang dominan berpengaruh terhadap Loyalitas Nasabah Bank Mandiri Cabang Bangkalan."
Pengaruh Nilai Pelanggan (Customer Value) Terhadap Loyalitas Nasabah Bank Mandiri Cabang Bangkalan ,"Penelitian ini bertujuan untuk mengukur pengaruh Nilai Pelanggan (Customer Value) Terhadap Loyalitas Nasabah Bank Mandiri Cabang Bangkalan yang dilakukan terhadap nasabah yang mempunyai tabungan di Bank Mandiri Cabang Bangkalan dengan jumlah responden penelitian sebanyak 100 responden, data yang terkumpul selanjutnya dilakukan analisis Regresi Linier Berganda. Dengan menggunakan alat bantu software SPSS 16.0. hasil analisis terhadap pengujian hipotesis diperoleh sebagai berikut: bahwa Nilai Pelanggan (Customer Value) mempunyai pengaruh secara simultan terhadap Loyalitas Nasabah Bank Mandiri Cabang Bangkalan, dan Secara Parsial variabel Emotional Value, Social Value, Quality Performance, Price Value, mempunyai pengaruh parsial terhadap Loyalitas Nasabah Bank Mandiri Cabang Bangkalan, serta variabel Emotional Value merupakan variabel yang dominan berpengaruh terhadap Loyalitas Nasabah Bank Mandiri Cabang Bangkalan."
